Huurobject;Mutatiegraad
HO 3000/1010/7;0,071
HO 3000/1010/8;0,071
HO 3000/1010/9;0,071
HO 3000/1011/1;0,071
HO 3000/1011/2;0
HO 3000/1011/3;0
HO 3000/1012/1;0,071
HO 3000/1012/10;0,071
HO 3000/1012/11;0,071
HO 3000/1012/12;0,071
HO 3000/1012/13;0,071
HO 3000/1012/14;0
HO 3000/1012/15;0,071
HO 3000/1012/16;0,143
HO 3000/1012/17;0,071
HO 3000/1012/18;0,071
HO 3000/1012/19;0,143
HO 3000/1012/2;0,143
HO 3000/1012/20;0,143
HO 3000/1012/21;0,143
HO 3000/1012/22;0,214
HO 3000/1012/23;0,143
HO 3000/1012/3;0,143
HO 3000/1012/4;0,071
HO 3000/1012/5;0,071
HO 3000/1012/6;0,071
HO 3000/1012/7;0,071
HO 3000/1012/8;0,214
HO 3000/1012/9;0,214
HO 3000/1013/10;0
HO 3000/1013/11;0
HO 3000/1013/13;0
HO 3000/1013/2;0
HO 3000/1013/4;0
HO 3000/1013/5;0
HO 3000/1013/6;0
HO 3000/1013/7;0
HO 3000/1014/1;0,071
HO 3000/1014/2;0,071
HO 3000/1014/3;0
HO 3000/1014/4;0,071
HO 3000/1015/1;0
HO 3000/1015/10;0,071
HO 3000/1015/11;0
HO 3000/1015/12;0
HO 3000/1015/13;0
HO 3000/1015/14;0
HO 3000/1015/15;0,143
HO 3000/1015/16;0,071
HO 3000/1015/17;0,143
HO 3000/1015/18;0
HO 3000/1015/19;0
HO 3000/1015/2;0,143
HO 3000/1015/20;0
HO 3000/1015/3;0,071
HO 3000/1015/4;0,143
HO 3000/1015/5;0,071
HO 3000/1015/6;0
HO 3000/1015/7;0,071
HO 3000/1015/8;0,071
HO 3000/1015/9;0,214
HO 3000/1016/1;0
HO 3000/1016/10;0,071
HO 3000/1016/11;0,214
HO 3000/1016/12;0,143
HO 3000/1016/13;0,071
HO 3000/1016/14;0,143
HO 3000/1016/15;0,071
HO 3000/1016/16;0
HO 3000/1016/17;0,071
HO 3000/1016/19;0,071
HO 3000/1016/2;0,071
HO 3000/1016/20;0
HO 3000/1016/21;0,071
HO 3000/1016/22;0
HO 3000/1016/23;0
HO 3000/1016/24;0
HO 3000/1016/25;0,071
HO 3000/1016/26;0,071
HO 3000/1016/27;0
HO 3000/1016/28;0
HO 3000/1016/29;0,071
HO 3000/1016/3;0
HO 3000/1016/30;0,071
HO 3000/1016/31;0
HO 3000/1016/32;0,071
HO 3000/1016/33;0
HO 3000/1016/34;0,071
HO 3000/1016/35;0,143
HO 3000/1016/36;0,071
HO 3000/1016/37;0,143
HO 3000/1016/38;0
HO 3000/1016/39;0,071
HO 3000/1016/4;0
HO 3000/1016/40;0,214
HO 3000/1016/41;0,143
HO 3000/1016/42;0,143
HO 3000/1016/43;0
HO 3000/1016/44;0,143
HO 3000/1016/45;0
HO 3000/1016/46;0
HO 3000/1016/47;0
HO 3000/1016/48;0,071
HO 3000/1016/49;0,071
HO 3000/1016/5;0,071
HO 3000/1016/6;0
HO 3000/1016/7;0
HO 3000/1016/8;0,071
HO 3000/1016/9;0
HO 3000/1017/1;0
HO 3000/1017/10;0,071
HO 3000/1017/11;0
HO 3000/1017/12;0
HO 3000/1017/13;0
HO 3000/1017/14;0,071
HO 3000/1017/15;0
HO 3000/1017/16;0
HO 3000/1017/17;0
HO 3000/1017/18;0
HO 3000/1017/19;0,143
HO 3000/1017/2;0
HO 3000/1017/4;0
HO 3000/1017/5;0,071
HO 3000/1017/6;0
HO 3000/1017/7;0
HO 3000/1017/8;0
HO 3000/1017/9;0,071
HO 3000/1018/1;0,071
HO 3000/1018/10;0,214
HO 3000/1018/11;0,143
HO 3000/1018/12;0,214
HO 3000/1018/13;0,214
HO 3000/1018/14;0,143
HO 3000/1018/15;0,143
HO 3000/1018/16;0,143
HO 3000/1018/17;0,143
HO 3000/1018/18;0,214
HO 3000/1018/19;0,143
HO 3000/1018/2;0,214
HO 3000/1018/20;0,143
HO 3000/1018/21;0,143
HO 3000/1018/22;0,214
HO 3000/1018/23;0,143
HO 3000/1018/24;0,143
HO 3000/1018/3;0,214
HO 3000/1018/4;0,214
HO 3000/1018/5;0,214
HO 3000/1018/6;0,214
HO 3000/1018/7;0,286
HO 3000/1018/8;0,143
HO 3000/1018/9;0,214
HO 3000/1019/1;0
HO 3000/1019/2;0
HO 3000/1019/3;0,071
HO 3000/1019/4;0,071
HO 3000/1019/5;0
HO 3000/1019/6;0,071
HO 3000/1019/7;0,071
HO 3000/1019/8;0,071
HO 3000/102/2;0
HO 3000/102/3;0,143
HO 3000/1021/1;0,071
HO 3000/1021/10;0,143
HO 3000/1021/11;0
HO 3000/1021/12;0,214
HO 3000/1021/13;0,071
HO 3000/1021/14;0,143
HO 3000/1021/15;0,071
HO 3000/1021/16;0,071
HO 3000/1021/17;0,143
HO 3000/1021/18;0,071
HO 3000/1021/19;0,214
HO 3000/1021/2;0,143
HO 3000/1021/20;0
HO 3000/1021/21;0,071
HO 3000/1021/22;0,143
HO 3000/1021/23;0,214
HO 3000/1021/24;0,071
HO 3000/1021/25;0,286
HO 3000/1021/3;0,071
HO 3000/1021/4;0,071
HO 3000/1021/5;0,071
HO 3000/1021/6;0
HO 3000/1021/7;0,071
HO 3000/1021/8;0,214
HO 3000/1021/9;0
HO 3000/1023/5;0,071
HO 3000/1023/6;0
HO 3000/1023/7;0
HO 3000/1023/8;0,071
HO 3000/1024/1;0
HO 3000/1024/11;0
HO 3000/1024/13;0,071
HO 3000/1024/14;0,143
HO 3000/1024/15;0
HO 3000/1024/16;0
HO 3000/1024/2;0,143
HO 3000/1024/3;0,214
HO 3000/1024/4;0
HO 3000/1024/5;0
HO 3000/1024/6;0
HO 3000/1024/7;0
HO 3000/1024/8;0,071
HO 3000/1024/9;0,214
HO 3000/1025/1;0
HO 3000/1025/10;0,071
HO 3000/1025/11;0
HO 3000/1025/2;0
HO 3000/1025/3;0,071
HO 3000/1025/4;0
HO 3000/1025/5;0,143
HO 3000/1025/6;0
HO 3000/1025/7;0,071
HO 3000/1025/8;0,071
HO 3000/1025/9;0
HO 3000/1026/1;0
HO 3000/1026/2;0,071
HO 3000/1027/1;0,143
HO 3000/1027/2;0,071
HO 3000/1027/3;0,071
HO 3000/1027/4;0,071
HO 3000/1027/5;0,214
HO 3000/1027/6;0,071
HO 3000/1027/7;0
HO 3000/1027/8;0
HO 3000/1028/1;0,143
HO 3000/1028/10;0,071
HO 3000/1028/11;0,071
HO 3000/1028/12;0,143
HO 3000/1028/13;0
HO 3000/1028/14;0
HO 3000/1028/15;0,071
HO 3000/1028/16;0,286
HO 3000/1028/17;0,071
HO 3000/1028/18;0
HO 3000/1028/19;0,143
HO 3000/1028/2;0
HO 3000/1028/20;0
HO 3000/1028/21;0,071
HO 3000/1028/3;0,143
HO 3000/1028/4;0,071
HO 3000/1028/5;0,071
HO 3000/1028/6;0,071
HO 3000/1028/7;0,143
HO 3000/1028/8;0,143
HO 3000/1028/9;0,214
HO 3000/1029/1;0,143
HO 3000/1029/10;0,071
HO 3000/1029/11;0,071
HO 3000/1029/12;0,143
HO 3000/1029/2;0,286
HO 3000/1029/3;0,143
HO 3000/1029/4;0,071
HO 3000/1029/5;0,071
HO 3000/1029/6;0,071
HO 3000/1029/7;0,071
HO 3000/1029/8;0
HO 3000/1029/9;0
HO 3000/103/1;0
HO 3000/103/10;0
HO 3000/103/11;0
HO 3000/103/12;0
HO 3000/103/13;0
HO 3000/103/14;0
HO 3000/103/15;0
HO 3000/103/16;0,143
HO 3000/103/17;0
HO 3000/103/18;0,071
HO 3000/103/19;0
HO 3000/103/2;0
HO 3000/103/20;0,071
HO 3000/103/21;0
HO 3000/103/22;0
HO 3000/103/4;0
HO 3000/103/5;0,071
HO 3000/103/6;0,071
HO 3000/103/7;0
HO 3000/103/8;0
HO 3000/103/9;0
HO 3000/1030/1;0,143
HO 3000/1030/2;0
HO 3000/1030/3;0
HO 3000/1031/1;0,071
HO 3000/1031/2;0
HO 3000/1031/3;0,071
HO 3000/1031/4;0
HO 3000/1032/1;0,071
HO 3000/1032/2;0,071
HO 3000/1032/3;0
HO 3000/1032/4;0,071
HO 3000/1032/5;0,071
HO 3000/1032/6;0,143
HO 3000/1032/7;0,286
HO 3000/1032/8;0,214
HO 3000/1033/1;0
HO 3000/1033/2;0,071
HO 3000/1033/3;0,143
HO 3000/1033/4;0,071
HO 3000/1034/1;0
HO 3000/1034/2;0
HO 3000/1034/3;0,143
HO 3000/1034/4;0
HO 3000/1035/1;0
HO 3000/1035/2;0
HO 3000/1035/3;0
HO 3000/1035/4;0
HO 3000/1035/5;0
HO 3000/1035/6;0,071
HO 3000/1035/7;0
HO 3000/1035/8;0,071
HO 3000/1036/1;0
HO 3000/1036/10;0
HO 3000/1036/11;0,143
HO 3000/1036/12;0
HO 3000/1036/13;0
HO 3000/1036/14;0
HO 3000/1036/15;0
HO 3000/1036/16;0,071
HO 3000/1036/17;0
HO 3000/1036/18;0,071
HO 3000/1036/19;0,143
HO 3000/1036/2;0,071
HO 3000/1036/20;0
HO 3000/1036/21;0,071
HO 3000/1036/22;0,071
HO 3000/1036/23;0,071
HO 3000/1036/24;0
HO 3000/1036/25;0,071
HO 3000/1036/26;0,214
HO 3000/1036/27;0,214
HO 3000/1036/28;0,071
HO 3000/1036/29;0,071
HO 3000/1036/3;0,071
HO 3000/1036/30;0,071
HO 3000/1036/31;0,071
HO 3000/1036/32;0
HO 3000/1036/33;0,071
HO 3000/1036/34;0
HO 3000/1036/35;0,071
HO 3000/1036/36;0
HO 3000/1036/37;0,071
HO 3000/1036/38;0
HO 3000/1036/39;0,143
HO 3000/1036/4;0,143
HO 3000/1036/40;0,214
HO 3000/1036/5;0,071
HO 3000/1036/6;0,143
HO 3000/1036/7;0,071
HO 3000/1036/8;0,214
HO 3000/1036/9;0
HO 3000/1037/1;0,071
HO 3000/1037/10;0,071
HO 3000/1037/11;0,071
HO 3000/1037/12;0
HO 3000/1037/2;0,071
HO 3000/1037/3;0,071
HO 3000/1037/4;0
HO 3000/1037/5;0
HO 3000/1037/6;0
HO 3000/1037/7;0
HO 3000/1037/8;0,143
HO 3000/1037/9;0,143
HO 3000/1038/1;0,143
HO 3000/1038/10;0,071
HO 3000/1038/11;0
HO 3000/1038/12;0
HO 3000/1038/13;0
HO 3000/1038/14;0
HO 3000/1038/15;0
HO 3000/1038/16;0
HO 3000/1038/18;0
HO 3000/1038/19;0
HO 3000/1038/2;0
HO 3000/1038/20;0
HO 3000/1038/21;0
HO 3000/1038/22;0,071
HO 3000/1038/23;0,071
HO 3000/1038/24;0
HO 3000/1038/3;0
HO 3000/1038/4;0
HO 3000/1038/5;0,071
HO 3000/1038/6;0
HO 3000/1038/7;0
HO 3000/1038/8;0
HO 3000/1038/9;0
HO 3000/1039/1;0,071
HO 3000/1039/10;0,143
HO 3000/1039/11;0
HO 3000/1039/12;0
HO 3000/1039/13;0,071
HO 3000/1039/14;0
HO 3000/1039/15;0
HO 3000/1039/16;0
HO 3000/1039/17;0
HO 3000/1039/18;0
HO 3000/1039/19;0
HO 3000/1039/2;0
HO 3000/1039/3;0,071
HO 3000/1039/4;0,071
HO 3000/1039/5;0,143
HO 3000/1039/6;0,214
HO 3000/1039/7;0,071
HO 3000/1039/8;0
HO 3000/1039/9;0,071
HO 3000/104/1;0
HO 3000/104/10;0
HO 3000/104/11;0
HO 3000/104/12;0
HO 3000/104/13;0
HO 3000/104/14;0
HO 3000/104/15;0
HO 3000/104/16;0,077
HO 3000/104/17;0,071
HO 3000/104/18;0
HO 3000/104/19;0
HO 3000/104/2;0
HO 3000/104/20;0,071
HO 3000/104/21;0
HO 3000/104/22;0,143
HO 3000/104/23;0
HO 3000/104/24;0
HO 3000/104/26;0
HO 3000/104/27;0,071
HO 3000/104/28;0
HO 3000/104/29;0
HO 3000/104/3;0
HO 3000/104/30;0
HO 3000/104/31;0
HO 3000/104/32;0,071
HO 3000/104/33;0
HO 3000/104/34;0
HO 3000/104/35;0
HO 3000/104/36;0
HO 3000/104/37;0
HO 3000/104/38;0
HO 3000/104/39;0,071
HO 3000/104/4;0,071
HO 3000/104/40;0
HO 3000/104/41;0
HO 3000/104/43;0
HO 3000/104/44;0
HO 3000/104/46;0
HO 3000/104/47;0
HO 3000/104/48;0,071
HO 3000/104/49;0
HO 3000/104/5;0,071
HO 3000/104/50;0
HO 3000/104/52;0
HO 3000/104/53;0
HO 3000/104/54;0
HO 3000/104/56;0
HO 3000/104/57;0
HO 3000/104/58;0
HO 3000/104/59;0
HO 3000/104/6;0
HO 3000/104/60;0
HO 3000/104/63;0
HO 3000/104/64;0
HO 3000/104/65;0
HO 3000/104/66;0
HO 3000/104/8;0
HO 3000/104/9;0
HO 3000/1040/1;0
HO 3000/1040/2;0
HO 3000/1040/3;0
HO 3000/1040/4;0,286
HO 3000/1041/1;0,071
HO 3000/1041/10;0
HO 3000/1041/11;0,214
HO 3000/1041/12;0,071
HO 3000/1041/13;0,143
HO 3000/1041/14;0
HO 3000/1041/15;0,214
HO 3000/1041/16;0,071
HO 3000/1041/17;0,071
HO 3000/1041/18;0,071
HO 3000/1041/19;0
HO 3000/1041/2;0,071
HO 3000/1041/20;0,071
HO 3000/1041/21;0
HO 3000/1041/22;0,071
HO 3000/1041/23;0,214
HO 3000/1041/24;0
HO 3000/1041/3;0,071
HO 3000/1041/4;0,071
HO 3000/1041/5;0,071
HO 3000/1041/6;0
HO 3000/1041/7;0,143
HO 3000/1041/8;0,071
HO 3000/1041/9;0,143
HO 3000/1042/1;0,143
HO 3000/1042/10;0
HO 3000/1042/11;0,071
HO 3000/1042/12;0,071
HO 3000/1042/13;0,071
HO 3000/1042/2;0,214
HO 3000/1042/3;0,071
HO 3000/1042/4;0,071
HO 3000/1042/5;0,071
HO 3000/1042/6;0
HO 3000/1042/7;0
HO 3000/1042/8;0,214
HO 3000/1042/9;0
HO 3000/1043/1;0,143
HO 3000/1043/2;0
HO 3000/1043/3;0
HO 3000/1044/1;0,214
HO 3000/1044/2;0
HO 3000/1044/3;0,071
HO 3000/1044/4;0
HO 3000/1044/5;0,143
HO 3000/1044/6;0
HO 3000/1044/7;0
HO 3000/1044/8;0,071
HO 3000/1045/1;0
HO 3000/1045/10;0,071
HO 3000/1045/11;0,214
HO 3000/1045/12;0,071
HO 3000/1045/13;0
HO 3000/1045/14;0
HO 3000/1045/15;0,071
HO 3000/1045/16;0,143
HO 3000/1045/17;0,071
HO 3000/1045/18;0
HO 3000/1045/19;0,071
HO 3000/1045/2;0,071
HO 3000/1045/3;0,143
HO 3000/1045/4;0
HO 3000/1045/5;0,143
HO 3000/1045/6;0,143
HO 3000/1045/7;0,071
HO 3000/1045/8;0,071
HO 3000/1045/9;0,214
HO 3000/1046/1;0
HO 3000/1046/2;0,071
HO 3000/1046/3;0,143
HO 3000/1046/4;0
HO 3000/1046/5;0,071
HO 3000/1046/6;0,143
HO 3000/1048/1;0
HO 3000/1048/10;0,071
HO 3000/1048/11;0,143
HO 3000/1048/12;0,143
HO 3000/1048/13;0,143
HO 3000/1048/14;0,143
HO 3000/1048/15;0,143
HO 3000/1048/16;0,143
HO 3000/1048/17;0,071
HO 3000/1048/18;0,143
HO 3000/1048/19;0
HO 3000/1048/2;0,214
HO 3000/1048/20;0,071
HO 3000/1048/21;0,143
HO 3000/1048/22;0,286
HO 3000/1048/23;0,143
HO 3000/1048/24;0,214
HO 3000/1048/25;0,143
HO 3000/1048/26;0,071
HO 3000/1048/27;0,071
HO 3000/1048/28;0,286
HO 3000/1048/29;0,286
HO 3000/1048/3;0,143
HO 3000/1048/30;0,286
HO 3000/1048/31;0,214
HO 3000/1048/32;0,071
HO 3000/1048/33;0,143
HO 3000/1048/34;0,286
HO 3000/1048/35;0,143
HO 3000/1048/36;0,071
HO 3000/1048/37;0,143
HO 3000/1048/38;0,071
HO 3000/1048/39;0,286
HO 3000/1048/4;0
HO 3000/1048/40;0,071
HO 3000/1048/41;0,286
HO 3000/1048/42;0,071
HO 3000/1048/43;0,071
HO 3000/1048/5;0,214
HO 3000/1048/6;0
HO 3000/1048/7;0,214
HO 3000/1048/8;0,071
HO 3000/1048/9;0,143
HO 3000/1049/1;0,071
HO 3000/1049/2;0,357
HO 3000/1049/3;0,071
HO 3000/1049/4;0,143
HO 3000/105/1;0
HO 3000/105/10;0,143
HO 3000/105/11;0
HO 3000/105/12;0,143
HO 3000/105/13;0,071
HO 3000/105/14;0,071
HO 3000/105/15;0,071
HO 3000/105/16;0,143
HO 3000/105/17;0,071
HO 3000/105/18;0,071
HO 3000/105/19;0
HO 3000/105/2;0
HO 3000/105/20;0,143
HO 3000/105/21;0,286
HO 3000/105/22;0,071
HO 3000/105/23;0
HO 3000/105/24;0
HO 3000/105/25;0,071
HO 3000/105/26;0,143
HO 3000/105/27;0,143
HO 3000/105/28;0,214
HO 3000/105/29;0,143
HO 3000/105/3;0,071
HO 3000/105/30;0,214
HO 3000/105/31;0,143
HO 3000/105/32;0,071
HO 3000/105/33;0,143
HO 3000/105/34;0,214
HO 3000/105/35;0
HO 3000/105/36;0,071
HO 3000/105/37;0,214
HO 3000/105/38;0,143
HO 3000/105/39;0,071
HO 3000/105/4;0,143
HO 3000/105/40;0,071
HO 3000/105/41;0,214
HO 3000/105/42;0,143
HO 3000/105/43;0,071
HO 3000/105/44;0,143
HO 3000/105/45;0,214
HO 3000/105/46;0,143
HO 3000/105/47;0,143
HO 3000/105/48;0,071
HO 3000/105/5;0
HO 3000/105/6;0,071
HO 3000/105/7;0,214
HO 3000/105/8;0,143
HO 3000/105/9;0,143
HO 3000/1050/1;0
HO 3000/1050/2;0,143
HO 3000/1050/3;0
HO 3000/1050/4;0
HO 3000/1050/5;0,071
HO 3000/1051/1;0
HO 3000/1051/2;0,143
HO 3000/1051/3;0,143
HO 3000/1051/4;0,071
HO 3000/1052/4;0
HO 3000/1053/1;0
HO 3000/1053/2;0
HO 3000/1053/3;0
HO 3000/1053/4;0,071
HO 3000/1053/5;0,071
HO 3000/1053/6;0,214
HO 3000/1053/7;0,071
HO 3000/1053/8;0
HO 3000/1054/1;0,071
HO 3000/1054/2;0
HO 3000/1054/3;0,143
HO 3000/1054/4;0,214
HO 3000/1054/5;0,071
HO 3000/1054/6;0,143
HO 3000/1055/1;0
HO 3000/1055/10;0,143
HO 3000/1055/11;0,143
HO 3000/1055/12;0,071
HO 3000/1055/13;0,143
HO 3000/1055/14;0,071
HO 3000/1055/15;0,071
HO 3000/1055/16;0
HO 3000/1055/17;0,071
HO 3000/1055/18;0
HO 3000/1055/19;0
HO 3000/1055/2;0
HO 3000/1055/20;0,071
HO 3000/1055/21;0,071
HO 3000/1055/22;0
HO 3000/1055/23;0,071
HO 3000/1055/24;0
HO 3000/1055/25;0,214
HO 3000/1055/26;0,071
HO 3000/1055/27;0
HO 3000/1055/28;0
HO 3000/1055/3;0,071
HO 3000/1055/4;0
HO 3000/1055/5;0,071
HO 3000/1055/6;0,286
HO 3000/1055/7;0
HO 3000/1055/8;0
HO 3000/1055/9;0,071
HO 3000/1056/1;0
HO 3000/1056/10;0,071
HO 3000/1056/11;0,071
HO 3000/1056/12;0,143
HO 3000/1056/13;0
HO 3000/1056/14;0
HO 3000/1056/15;0
HO 3000/1056/16;0
HO 3000/1056/17;0
HO 3000/1056/18;0
HO 3000/1056/19;0,143
HO 3000/1056/2;0,071
HO 3000/1056/20;0
HO 3000/1056/21;0,071
HO 3000/1056/22;0
HO 3000/1056/23;0
HO 3000/1056/24;0,071
HO 3000/1056/25;0,071
HO 3000/1056/26;0,071
HO 3000/1056/27;0,143
HO 3000/1056/3;0
HO 3000/1056/4;0
HO 3000/1056/5;0,071
HO 3000/1056/6;0
HO 3000/1056/7;0,071
HO 3000/1056/8;0,071
HO 3000/1056/9;0,071
HO 3000/1057/1;0
HO 3000/1057/2;0
HO 3000/1057/3;0
HO 3000/1059/1;0,071
HO 3000/1059/10;0,214
HO 3000/1059/11;0
HO 3000/1059/12;0
HO 3000/1059/13;0
HO 3000/1059/14;0,071
HO 3000/1059/15;0
HO 3000/1059/16;0,071
HO 3000/1059/17;0
HO 3000/1059/2;0
HO 3000/1059/3;0,071
HO 3000/1059/4;0,071
HO 3000/1059/5;0
HO 3000/1059/6;0,071
HO 3000/1059/7;0,071
HO 3000/1059/8;0,143
HO 3000/1059/9;0,071
HO 3000/106/1;0
HO 3000/106/2;0,071
HO 3000/106/3;0
HO 3000/106/4;0
HO 3000/106/5;0,214
HO 3000/106/6;0,071
HO 3000/1060/1;0
HO 3000/1060/2;0
HO 3000/1060/3;0
HO 3000/1060/4;0
HO 3000/1061/1;0,214
HO 3000/1061/10;0,143
HO 3000/1061/12;0,143
HO 3000/1061/13;0,214
HO 3000/1061/14;0,071
HO 3000/1061/15;0,143
HO 3000/1061/16;0,071
HO 3000/1061/17;0,071
HO 3000/1061/19;0,143
HO 3000/1061/2;0,143
HO 3000/1061/20;0,143
HO 3000/1061/21;0,071
HO 3000/1061/22;0,143
HO 3000/1061/23;0,143
HO 3000/1061/24;0,143
HO 3000/1061/25;0,071
HO 3000/1061/26;0,143
HO 3000/1061/27;0,214
HO 3000/1061/28;0,214
HO 3000/1061/29;0,071
HO 3000/1061/3;0,143
HO 3000/1061/30;0,214
HO 3000/1061/31;0,143
HO 3000/1061/32;0,071
HO 3000/1061/33;0,143
HO 3000/1061/34;0,143
HO 3000/1061/35;0,143
HO 3000/1061/36;0,071
HO 3000/1061/37;0,071
HO 3000/1061/38;0,071
HO 3000/1061/39;0,143
HO 3000/1061/40;0,071
HO 3000/1061/41;0,214
HO 3000/1061/42;0,071
HO 3000/1061/43;0,071
HO 3000/1061/44;0,071
HO 3000/1061/45;0,286
HO 3000/1061/46;0,071
HO 3000/1061/47;0,286
HO 3000/1061/48;0,071
HO 3000/1061/49;0,071
HO 3000/1061/5;0,143
HO 3000/1061/50;0,214
HO 3000/1061/51;0,143
HO 3000/1061/7;0,143
HO 3000/1061/8;0,214
HO 3000/1061/9;0,286
HO 3000/1062/1;0
HO 3000/1062/2;0,071
HO 3000/1062/3;0
HO 3000/1062/4;0
HO 3000/1062/5;0
HO 3000/1062/6;0
HO 3000/1062/7;0,143
HO 3000/1062/8;0
HO 3000/1063/1;0
HO 3000/1063/10;0
HO 3000/1063/11;0
HO 3000/1063/2;0
HO 3000/1063/3;0
HO 3000/1063/4;0
HO 3000/1063/5;0,071
HO 3000/1063/6;0
HO 3000/1063/7;0
HO 3000/1063/8;0,071
HO 3000/1063/9;0
HO 3000/1064/1;0,071
HO 3000/1064/2;0
HO 3000/1064/3;0
HO 3000/1064/4;0
HO 3000/1064/5;0
